"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ABCF3",1259.6786780555,1122.39672465095,884.49208679206,902.394653499655,861.631335428466,978.475557644294,898.136360195537,970.737185309615
"ABCG1",47.8358991666647,39.5134907821932,156.724328291147,141.166688369253,154.84833608234,112.284080385411,121.622632109812,119.166357920767
"ABCG2",170.295801033326,179.412606794823,172.563489129082,168.863950011322,208.508650566319,243.28217416839,278.588593208801,251.722194259597
"ABCG4",98.2230462888849,118.54047234658,147.554287806027,177.798550541021,165.580398979136,118.522084851267,155.926451422836,143.267419073281
"ABHD1",23.5990435888879,39.5134907821932,66.6912035281478,59.861823548987,49.060858956781,36.5368833000146,31.1852902845673,48.2021223050292
"ABHD10",2340.76999922213,2348.38287108224,2015.74162663827,1964.71865648093,2341.12286334389,2168.15212363257,2193.36541668123,2021.81124112761
"ABHD11",410.113108855539,413.289754938075,482.67758553497,558.412533106222,496.741196937407,549.835536490464,505.201702609989,547.629667298804
"ABHD12",1272.43491783328,1089.29082696857,881.991166659755,908.648873870445,850.89927253167,926.7892349272,883.583224729405,897.095054010265
"ABHD13",522.368018899979,541.441616934378,721.9322781922,681.710020416076,743.578643563711,570.331836878277,577.967379940646,499.427544993775
"ABHD14A",116.081781977773,81.1628459309915,105.038645556833,121.510567203914,75.1244402775709,110.501793395166,89.3978321490928,112.471618711735
"ABHD14B",405.648424933317,461.346703186689,637.734633737914,753.186824653673,568.799333530179,367.151119990391,360.709857624828,397.667509016491
"ABHD15",449.01964017776,477.365685936226,477.675745270359,511.952610351785,484.475982198212,468.741478434334,429.317496250876,448.547527005133
"ABHD16A",551.707370388867,511.539515801907,453.500183991405,444.049646326068,432.348819556632,453.592039017255,425.159457546267,424.446465852618
"ABHD2",2272.52411641102,2293.91832973381,2145.78947351816,2010.2851191824,2175.54246436476,1994.37914208372,1975.06838468926,1918.71225730852
"ABHD3",682.458828111083,700.563512246453,614.392712503062,626.315497131939,737.446036194114,711.132509107601,731.814812011178,692.236034213891
"ABHD4",508.973967133313,468.822228469806,502.684946593414,482.468428603776,412.41784560544,454.483182512377,419.961909165506,443.191735637907
"ABHD5",1178.03874347773,973.954151171898,844.477364675172,833.598229420969,952.087294130031,931.244952402811,891.899302138623,895.756106168459
"ABHD6",234.076999922213,224.265758493529,275.934854597712,277.866076473656,262.168965050298,237.935313197656,218.297031991971,227.621133107082
"ABHD8",505.784907188868,499.792261785579,495.182186196498,599.51169554284,476.810222986215,556.964684451442,599.797083139843,599.848633129252
"ABI1",1845.19008385548,1757.81637371595,1450.53367673722,1425.06878448708,1525.48608318741,1474.84248442742,1449.07648855622,1289.40677165953
"ABI2",3435.89318414431,3657.66772781113,4016.4777324827,3934.79807327969,4122.645304212,4224.02016687974,4286.93790445184,4306.05625924927
"ABI3BP",23.5990435888879,26.698304582563,47.5174825138053,54.5010632311673,81.2570476471685,32.9723093195254,23.9087225515016,36.1515917287719
"ABL1",3119.53843765543,2984.87045233054,2475.07729093839,2543.68077080546,2419.31360730626,2808.88429662551,2892.95542873169,2872.04312067466
"ABL2",1413.39136737772,1521.80336120609,2410.88700754254,2120.18070569771,2356.45438176789,1342.0621036542,1436.6023724424,1454.09735620171
"ABLIM1",2394.34620628879,2497.89337674459,2550.10489490755,2450.76092529659,2594.09291733979,3159.10369020858,3072.79060270603,3117.07057572522
"ABLIM2",36.9930953555541,37.3776264155882,55.8538829548238,57.1814433900772,33.7293405327869,40.9926007756262,37.4223483414807,34.8126438869655
"ABLIM3",59.9543269555531,63.0079988148487,127.546926747583,150.994748951923,107.320628967958,75.7471970853962,85.2397934444838,91.0484532428329
"ABR",2078.6292717888,2045.09013102433,1759.814133099,1717.23022180826,1589.87846056818,2079.92891761547,1978.18691371772,2177.12919077715
"ABT1",2346.51030712213,2258.67656768483,1641.43724683654,1691.31988027213,1433.49697264344,1998.83485955934,1953.23868149006,1898.62803968143
"ABTB1",123.097713855551,118.54047234658,183.400809702407,184.946230964781,197.776587669523,155.950111646404,173.598115917424,144.606366915088
"ABTB2",815.123721799967,799.881205293587,667.74567532558,668.308119621527,568.799333530179,637.16759901245,614.350218605975,660.101286010539
"ACAA1",796.62717412219,868.228865024949,782.788001411635,874.697391857587,705.249847503726,920.551230461344,836.805289302555,937.263489264456
"ACAA2",817.037157766634,845.802289175596,822.802723528524,884.525452440256,913.758498070045,929.462665412567,903.333908576298,901.111897535684
"ACACA",4430.24207482204,4110.4709735314,3824.74052233928,3590.81595288625,3681.09757360097,3626.95402514779,3872.1735436671,3825.37398404079
"ACACB",505.784907188868,457.074974453479,466.838424697035,478.894588391896,412.41784560544,492.802352802636,482.33248973464,486.038066575711
"ACAD10",600.18108154442,580.955107716571,513.522267166738,540.543332046823,479.876526671014,405.47029028065,395.013676937852,416.41277880178
"ACAD11",93.120550377774,79.0269815643865,102.537725424527,129.551707680644,104.25432528316,75.7471970853962,97.7139095583107,95.065296768252
"ACAD8",690.750383966639,656.77829273105,572.710710297969,576.281734165622,561.133574318182,597.957285227068,579.006889616799,623.949694281767
"ACAD9",1878.99411926659,1872.08511732932,1488.8811187659,1506.37364930735,1536.2181460842,1880.31277470807,1806.6678171526,1833.01959543292
"ACADL",105.238978166662,95.0459643139243,95.8686050717125,83.9852449791759,99.6548697559613,130.998093782979,133.057238547487,116.488462237154
"ACADM",2323.54907552213,2363.33392164848,2064.92638924028,1974.5467170636,2223.07017147914,1905.26479257149,2006.25367497383,1891.9333004724
"ACADS",140.956449544439,191.159860811151,234.252852392619,242.127674354858,225.373320832713,187.140133975685,172.558606241272,194.147437061923
"ACADSB",1341.31861263328,1376.56458427695,1015.37357371605,1014.97062017387,1085.47150441878,1239.58060171513,1286.91297907648,1213.08674467657
"ACADVL",1105.96598873329,1298.60553489586,1572.24512317608,1758.32938424487,1733.99473375373,1007.88329298333,957.388411736215,1172.91830942238
"ACAN",15.9452997222216,11.7472540163277,35.0128818522776,25.9103415361287,36.7956442175857,8.91143495122308,13.5136257899791,9.37263489264456
"ACAP2",1977.85497754436,1915.87033684472,1866.52005874404,1752.96862392705,2046.75770960321,1884.76849218368,1990.66102983154,1806.24063859679
"ACAP3",1031.97979802218,1086.08703041866,1001.20169296632,1031.9463611803,964.352508869226,885.796634151574,897.096850519385,1044.37931660897
"ACAT1",2167.28513824436,2277.89934698427,2402.55060710153,2268.49507449072,2336.52340781669,2365.0948360546,2339.9362810187,2360.56504510462
"ACAT2",2511.70361224434,2467.99127561212,2531.76481393731,2562.44343191783,2414.71415177906,2593.22757080592,2467.79597118542,2448.93560266384
"ACBD3",3627.23678081096,3516.7006796152,3367.07213812736,3317.41717667745,3765.42092493294,3302.57779292327,3393.99909263707,3198.74639407541
