"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACRBP",10.0531108455684,-0.147549664449859,0.271212822710434,0.191340475983025,0.297659079294263
"ACRC",103.020866549323,0.0239751529612366,0.150882666576337,0.839468864912251,0.88973160718609
"ACSBG1",20.070077734284,-0.0769202735802086,0.236127173304401,0.508270983683455,0.626722065989591
"ACSF2",375.558226834209,0.647671311141482,0.103804741425572,3.30408447486117e-12,7.32572264880835e-11
"ACSF3",361.152524412929,-0.147642304171323,0.090960158945649,0.0779397365314963,0.145368299563783
"ACSL1",1475.72161106123,0.0395216061657646,0.0593437822743085,0.490911006625915,0.610262752168866
"ACSL3",3215.14388795163,-0.0242095510435222,0.0584281538457803,0.668565063099085,0.762229370576573
"ACSL4",4485.73022329691,0.552996501124093,0.0627075925284068,2.89456694277889e-20,2.36170665647644e-18
"ACSL5",10.0719906181457,-0.152731533383833,0.289758529182122,0.149993315378986,0.246144108811078
"ACSL6",174.9899093676,0.569724825662225,0.141982797911385,1.11474410391942e-06,8.25845860979844e-06
"ACSM3",64.5359599545734,0.15887124575393,0.168611869629815,0.202252680179654,0.310684381730266
"ACSS1",402.213827631569,0.332114768958838,0.0921294701830802,8.09265483797608e-05,0.000385763102713216
"ACSS2",490.951926781523,0.237055783983659,0.0893541545929181,0.00399856464436098,0.0119738736621724
"ACSS3",216.745104006141,0.196671324096842,0.116371111794572,0.0523636624987457,0.105172245005651
"ACTA1",63.4804406019535,-0.225778265241289,0.188057257175673,0.0831782612416713,0.153191787916637
"ACTA2",267.809495156319,0.464846813928988,0.120960968939053,7.80827633055306e-06,4.80665728441297e-05
"ACTB",43097.6820623689,-0.536421083610033,0.0676971285164416,7.0823236564368e-17,3.45460009463973e-15
"ACTBL2",48.8827600465071,-1.3313317206469,0.307065873865362,3.1973754694352e-08,3.29494796028651e-07
"ACTC1",9.06381395508103,-0.0660977329867719,0.250661860609533,0.540499442344934,0.655014703035304
"ACTG1",52158.8876830489,-0.221550046567681,0.0514018563081614,9.56296216704013e-06,5.75538244013206e-05
"ACTL6A",2422.41323357653,-0.276246068000089,0.055108378529033,2.2938080041627e-07,1.97226412892893e-06
"ACTL8",14.6887473411999,-0.99769350129133,0.601797433573772,6.15101924719158e-05,0.000302723929318061
"ACTN1",2244.29329548099,-0.0241167845079732,0.055595416835682,0.655018499507116,0.751408036802063
"ACTN2",528.117308763353,0.274894953424133,0.0896210824853899,0.000859687616596805,0.00313355079712903
"ACTN4",5165.51224260505,-0.347533790528668,0.0586561008248755,7.77127154573104e-10,1.11178386685435e-08
"ACTR10",1427.19935128544,-0.169738132063115,0.0600378428622134,0.00339128998247545,0.0103531036321747
"ACTR1A",3662.46862485987,-0.221779079817617,0.051815743933497,1.09291505104952e-05,6.49618559356899e-05
"ACTR1B",1528.70236007237,0.179549142673532,0.0672433410240586,0.00522088503854765,0.0150865631252259
"ACTR2",9245.91005068439,-0.181046652890649,0.0641986093942021,0.00330155863711757,0.0101052686173927
"ACTR3",4564.37575991853,0.0362699676841067,0.0510656365005925,0.466513653455416,0.588875606825924
"ACTR3B",533.134709723366,-0.601318170945639,0.0877721567868233,9.6076428521295e-14,2.8225895300759e-12
"ACTR3BP5",15.4437180405048,-0.478300647365292,0.384717992799468,0.00387960046691035,0.011653970904023
"ACTR3C",23.8853461538745,-0.170081976601274,0.229863423072862,0.182938952122581,0.287850179146284
"ACTR5",395.264087708254,-0.37144019969682,0.0943911414561258,1.52001059221387e-05,8.7308271960247e-05
"ACTR6",1148.54484600578,0.0949577028534174,0.0764235785306502,0.188334237847922,0.29413645225014
"ACTR8",817.330970778136,-0.0952035923772861,0.0699507490903265,0.153463634346942,0.25084773848306
"ACVR1",435.646830936863,0.0826617969491029,0.0854722516689062,0.298769697205011,0.419079459334946
"ACVR1B",1448.95034067979,-0.248272463757869,0.0578650110138994,8.97981203994836e-06,5.45354988117812e-05
"ACVR1C",208.199306396364,0.785791196213178,0.143934021475945,1.33097151696211e-10,2.16865083331101e-09
"ACVR2A",334.06568036526,0.126815072110933,0.099917563971872,0.160782188534508,0.260687709912073
"ACVR2B",3693.22088080624,-0.0779225863143917,0.0638642598969534,0.20437015445613,0.313231663163934
"ACVRL1",81.2112993506915,-0.118775355903122,0.148100338659236,0.312572212339856,0.434434377440243
"ACY1",23.5214933377644,0.179779436298576,0.224875174748188,0.164191108894745,0.264666007990743
"ACYP1",347.135316607594,0.115252510000205,0.0930571861020638,0.177105747955766,0.280944643541228
"ACYP2",72.5864206443948,-0.252920388273628,0.172695583684889,0.0470424504116589,0.0962346591954782
"ADA",381.000945469504,0.284097767346462,0.0985474578830886,0.00143532630949801,0.00491504095062112
"ADAL",548.280940804772,-0.118920717552341,0.0820964713184742,0.121608118019669,0.208236791861386
"ADAM1",197.216025664976,-0.380473231831214,0.128762667810977,0.000462299579638158,0.00181621913606246
"ADAM10",1351.57355433597,0.158243193665727,0.0706756570973042,0.0186497332257411,0.044509653776563
"ADAM11",534.130661227251,0.398337582833638,0.0837306320817911,2.86205483671883e-07,2.41623475638378e-06
"ADAM12",130.735413170015,0.120704596927443,0.134365405917406,0.27901226590158,0.397167265664052
"ADAM15",1012.04950084446,0.113440696242485,0.0690388224771769,0.0851705389778618,0.156237140784973
"ADAM17",1196.40206914839,0.156849118797766,0.0642545415822791,0.0110052401210331,0.0285441449121663
"ADAM19",451.019069965797,0.359747182630069,0.0881212952880529,9.23821173091912e-06,5.58619139101032e-05
"ADAM21",25.3823368266296,0.49673490876498,0.326665334208344,0.00296256518695035,0.00922013653990117
"ADAM22",738.297798205913,0.149023516397358,0.0763636409568609,0.0386948664180499,0.0819612107131703
"ADAM23",363.071861198757,0.128030712263135,0.0915687002052341,0.128583040603307,0.217729603137515
"ADAM32",13.8919721984246,-0.0913390440720413,0.243628335046375,0.425761897497491,0.550205744761431
"ADAM8",95.8472972718222,-0.257372800884119,0.160100142398211,0.036749522235565,0.0784899095286984
"ADAM9",1346.32322586549,0.485924131320966,0.0708798161738988,4.06979394854352e-13,1.06167035686539e-11
"ADAMTS1",9573.89863077832,1.02058667802069,0.0700036378116763,3.34058613825758e-50,2.70147926391198e-47
"ADAMTS10",166.546306311824,0.942645044306795,0.155104184558887,3.57186882819638e-12,7.86271698355837e-11
"ADAMTS13",228.30699083987,0.253160780036653,0.116582247321991,0.0125567861331273,0.0318637520950456
"ADAMTS14",10.7738597979249,0.171096909466691,0.267451724457277,0.151447165252326,0.248053053416691
"ADAMTS15",181.332177996044,0.286042034604666,0.12200828427794,0.00630147836309108,0.0176677847438605
"ADAMTS16",86.6482992628119,-0.597962631093777,0.220502958348744,9.02627043876122e-05,0.000424903937780533
"ADAMTS17",436.471832912569,-0.233066440942049,0.0896388087106576,0.00477205107694651,0.0139635430960356
"ADAMTS18",72.9018325655288,0.451480015751614,0.203130817292554,0.00142497732462518,0.00488504609390135
"ADAMTS19",249.102240461442,0.0985184676715959,0.108023299118248,0.305175589228763,0.426313567460673
"ADAMTS2",173.017340198146,1.09702413668924,0.150586629277352,2.4981858772243e-15,9.74229086384553e-14
"ADAMTS20",102.813001822335,0.0517488657631013,0.143496081827542,0.654287747060015,0.751018320153678
"ADAMTS3",535.206274759605,0.318476693377214,0.0899040363499696,0.00011532757497342,0.00052816935602581
"ADAMTS4",27.9516699800075,0.428605712029547,0.292776743378491,0.00620890935869642,0.0174469444580048
"ADAMTS5",71.7023518284376,0.0718706285061935,0.157841163828164,0.551751228049996,0.66496647729141
"ADAMTS6",140.117947055666,0.257441121922592,0.134982842037496,0.0215407688276084,0.0501094400062229
"ADAMTS7",87.2565936469774,1.20172332800651,0.207159414183653,4.24034145999599e-11,7.68738518514749e-10
"ADAMTS8",85.0075975873759,0.265998666856454,0.16357498382836,0.0327691518171669,0.0713965838413448
"ADAMTS9",330.311970058763,0.295422177651902,0.0967191899171978,0.000762814287498802,0.00282289054128591
"ADAMTS9-AS2",15.4642895996939,0.187466479686307,0.251110533709336,0.13753793375502,0.229678334109975
"ADAMTSL1",12.2102073806101,0.00914144120364288,0.237443288278576,0.934720221706503,0.957273625709552
"ADAMTSL3",63.8079309521297,0.879804205709542,0.250293420960684,1.18209197519769e-06,8.70701975019774e-06
"ADAMTSL4",38.3093613535455,0.497851932067872,0.270433177967333,0.00187439687280982,0.00619921151702325
"ADAMTSL5",84.6893796363223,-0.421520030286605,0.183014557930965,0.00166649918621221,0.00560669148153068
"ADAP1",205.58149692235,0.170799620188008,0.116096668165071,0.0915513105255624,0.165492457202972
"ADAP2",492.302269600855,-0.0703754957056016,0.0811297357372168,0.354922279461408,0.478618643489954
"ADAR",10019.2116208598,-0.237054850360027,0.042816818891587,1.69183850465501e-08,1.85018495544656e-07
"ADARB1",558.930489185408,-0.216889412123247,0.081535933220362,0.00443636491935412,0.0131136489007072
"ADARB2",47.8756661201354,0.204527116789881,0.187362755979698,0.11424212445182,0.198051477175021
"ADAT1",369.060765331171,-0.080015264095398,0.0912073933487452,0.340922443712048,0.464921749146677
"ADAT2",1073.0761193014,0.287772894073633,0.0683232168554134,9.76142930844394e-06,5.8633448523941e-05
"ADAT3",231.947297538752,-0.0978283674121387,0.110277838225395,0.31604840024237,0.438235147524954
"ADC",147.252962272915,-0.149031293244436,0.129356065549425,0.171307386619979,0.273838742760713
"ADCK1",239.223920136833,-0.339549638641642,0.126859957610231,0.00159272259652044,0.00537968403946724
"ADCK2",1119.70054215335,-0.115467779932816,0.0629091047736727,0.0564436235806177,0.111673483944913
"ADCK3",1674.84374893695,0.140869853770967,0.0591064225203713,0.0136527155185558,0.0341707075977537
"ADCK4",672.8162723027,0.0513138946691015,0.0770617436290049,0.480524673141834,0.601438709907484
"ADCK5",74.2689583597398,-0.0978410672176593,0.161281260288982,0.422308650747964,0.547114031934441
"ADCY1",1183.43625806167,0.0160880427013221,0.0625299941755737,0.789373253483008,0.85479738105338
"ADCY10",34.9664145509248,0.476206314869312,0.279404271631879,0.00288193866355616,0.00900020072470334
"ADCY3",1283.22434371144,0.128095563005316,0.0649813654863143,0.0399377264578685,0.0840952675106413
"ADCY5",138.578415528485,0.442732490701812,0.145226263048843,0.000171680499846663,0.000753462119435585
"ADCY6",1351.56141905971,0.201985042261825,0.0617498940645507,0.000677440423252408,0.00253939032687272
"ADCY7",311.10911371527,0.496661972839428,0.118817709736558,1.31419403877321e-06,9.56994853353095e-06
"ADCY9",923.544352915664,0.17122302638315,0.0660035002428969,0.00675417472453377,0.0187629532891812
"ADCYAP1R1",94.9785099705389,1.16118068477453,0.186589353269665,3.4855995188744e-12,7.6948615815381e-11
"ADD1",3888.80602436118,-0.411019781146788,0.0478612947766808,1.23243257819852e-18,7.72911288327356e-17
"ADD2",1532.33870879781,-0.329802078223186,0.0598453543424931,1.02627356959653e-08,1.18117553534462e-07
"ADD3",3819.69518325301,0.0983736432988529,0.0570057939622074,0.074950699838528,0.140922357197624
"ADH1C",18.6434082668789,-1.03418228065548,0.785802855012114,4.60605372207671e-05,0.000234266850181095
"ADH5",1883.36719784944,0.112810141130088,0.0548282730354233,0.0341445542108575,0.073891700767581
"ADHFE1",33.8644809199667,0.144622513597415,0.199332147322749,0.259167655633183,0.375848138631795
"ADI1",2308.38439765665,-0.642694418835767,0.0599968937391836,6.88947981076928e-29,1.45009393551329e-26
"ADIPOR1",3282.07359876664,-0.38248817762645,0.0498131693352445,2.96594176009119e-15,1.14501746592465e-13
"ADIPOR2",4963.507497873,-0.179597053114002,0.0494635540910303,0.000199246399388979,0.000862606440652927
"ADK",916.075844740938,0.124681697248435,0.0656413684024978,0.0475737672213508,0.0971002833894865
"ADM",573.021087504808,0.092187013745702,0.0774270420197763,0.206766430570769,0.315896013296199
"ADM2",45.2588377911338,0.643309502370403,0.275752751883418,0.000182997086702585,0.000799701432646536
"ADNP",3793.85068244891,-0.248463008595434,0.050628546225586,4.69745294573116e-07,3.80275893104106e-06
"ADNP2",1584.62727788278,-0.0939036850000003,0.0577173184884406,0.0929209693619902,0.167502672371138
"ADO",1585.27483218741,-0.0698152844928593,0.0615077541428349,0.239103862261853,0.353151095227663
"ADORA1",67.1868323461594,-0.00641362859664377,0.159478106629802,0.957737270187745,0.972355831666096
"ADORA2A",98.9708345302717,0.239772353779706,0.149793623463754,0.0438789815128867,0.0908381232747916
"ADORA2B",368.617449615509,0.186026556037228,0.106374569119144,0.0498553745809847,0.100899345421079
"ADPGK",1501.17727483436,-0.0231790750431653,0.0592048764740236,0.685567381035471,0.775794874768745
"ADPRH",16.817457389124,-0.177206779584662,0.243801270336381,0.160318943123041,0.260281124375055
"ADPRHL1",59.8292292135389,-0.431682151784904,0.223531611435278,0.00317437741445696,0.00976658169265743
"ADPRHL2",943.986197931656,0.0139237753562832,0.0729253125114162,0.840693142437238,0.89066056219735
"ADRA1B",50.3609552001595,0.0872473787228607,0.17674497512023,0.485357783186933,0.604868276872789
"ADRA2A",7.94226999968002,-0.0079360542574802,0.249367099757088,0.939403047172219,0.959918362293133
"ADRA2B",20.8830406150541,0.104535022925879,0.216207868527473,0.400853475559487,0.526240059122652
"ADRA2C",276.026954517162,0.368112154517364,0.11051930460622,0.000154278634028889,0.000684915114664512
"ADRB1",30.305923347259,0.300865200653233,0.239881203647003,0.0318734541176173,0.0697621851643618
"ADRB2",123.472864422293,0.328453091540227,0.145795040326038,0.00522657366673345,0.0150923330932831
"ADRBK1",1747.54217049372,-0.168495572716576,0.0663858518693277,0.00801441091027019,0.0217795231051117
"ADRBK2",1110.23231794651,-0.0460137261158035,0.0637328656858625,0.452794545374494,0.576355578633013
"ADRM1",1989.11163821592,-0.47440416524562,0.0729413647031048,5.12220822988927e-12,1.09981770404618e-10
